exp_code,pNum,drinkPref,cue1,cue2,cueOrder,cueRelevant,instruction,corRespKey,incRespKey,accuracy,RT
SAC09,178,Beer,2,4,2,2,1,k,m,0,0.8142772999999579
SAC09,178,Beer,1,4,1,1,1,k,m,1,1.8214353999974264
SAC09,178,Beer,1,4,2,2,1,z,k,1,0.8299191999976756
SAC09,178,Beer,1,3,2,2,1,z,m,1,0.7594988999990164
