exp_code,pNum,cue1,cue2,outcome,certainty,accuracy,RT
UNW01,706,1.0,3.0,2.0,2.0,0.0,1.4659365999978036
UNW01,706,2.0,3.0,2.0,2.0,0.0,1.614402399998653
UNW01,706,2.0,3.0,1.0,1.0,1.0,1.516529399999854
UNW01,706,1.0,4.0,1.0,1.0,1.0,1.4247671000011906
