exp_code,pNum,cue1,cue2,outcome,certainty,accuracy,RT
UNW01,918,1.0,4.0,1.0,1.0,1.0,9.608314899998732
UNW01,918,1.0,4.0,1.0,1.0,0.0,0.8574953999996069
UNW01,918,2.0,3.0,2.0,1.0,0.0,0.5594286999985343
UNW01,918,2.0,3.0,2.0,1.0,0.0,0.5371972000011738
