exp_code,pNum,cue1,cue2,outcome,certainty,accuracy,RT
UNW01,115,2.0,3.0,2.0,1.0,0.0,2.2868550999992294
UNW01,115,1.0,4.0,1.0,1.0,1.0,0.7302431000007346
UNW01,115,2.0,4.0,2.0,1.0,0.0,0.4615439000008337
UNW01,115,1.0,3.0,1.0,1.0,1.0,0.45085480000125244
