exp_code,pNum,cue1,cue2,outcome,certainty,accuracy,RT
UNW01,822,1.0,4.0,1.0,1.0,1.0,3.5732260000004317
UNW01,822,2.0,3.0,2.0,1.0,1.0,5.243978399999833
UNW01,822,2.0,3.0,2.0,1.0,1.0,1.959182900000087
UNW01,822,1.0,3.0,1.0,1.0,0.0,0.6563110000006418
