exp_code,pNum,trial,stimulus,response,accuracy,RT
SAC09,294,1,a,a,1,2.039839799999754
SAC09,294,2,m,m,1,0.5014249999985623
SAC09,294,3,a,a,1,0.48984999999811407
SAC09,294,4,a,a,1,0.4227494000006118
SAC09,294,5,k,k,1,0.6544515999994474
SAC09,294,6,z,z,1,0.5805665000007139
SAC09,294,7,z,z,1,0.5740545999979076
SAC09,294,8,k,k,1,0.639277399997809
SAC09,294,9,z,z,1,0.5584478999990097
SAC09,294,10,a,a,1,0.488646300000255
