exp_code,pNum,cue1,cue2,cueOrder,cueRelevant,instruction,corRespKey,incRespKey,accuracy,RT
SAC09,946,2,4,1,1,1,m,z,-99,-99
SAC09,946,1,4,1,1,1,m,a,-99,-99
SAC09,946,1,3,2,2,1,z,a,0,1.266935999999987
SAC09,946,2,3,1,1,1,k,z,0,0.8207399999955669
SAC09,946,2,4,2,2,1,m,a,0,1.0169300000125077
SAC09,946,1,4,2,2,1,a,k,1,1.5413833000056911
SAC09,946,2,3,2,2,1,m,z,1,1.5402968999987934
SAC09,946,1,3,1,1,1,k,z,1,1.6595614999823738
SAC09,946,2,4,2,1,2,a,z,-99,-99
SAC09,946,2,4,1,2,2,a,z,1,1.0863312000001315
SAC09,946,2,4,2,2,1,m,k,-99,-99
SAC09,946,2,3,1,2,2,k,a,-99,-99
SAC09,946,1,4,1,1,1,m,k,-99,-99
SAC09,946,1,4,2,1,2,a,k,-99,-99
SAC09,946,1,4,2,2,1,m,k,-99,-99
SAC09,946,1,3,1,2,2,m,k,-99,-99
SAC09,946,2,3,1,1,1,m,z,-99,-99
SAC09,946,1,4,1,2,2,a,m,-99,-99
SAC09,946,2,3,2,1,2,z,a,-99,-99
SAC09,946,2,3,2,2,1,z,m,-99,-99
SAC09,946,2,4,1,1,1,m,k,-99,-99
SAC09,946,1,3,2,1,2,a,z,-99,-99
SAC09,946,1,3,1,1,1,z,m,-99,-99
SAC09,946,1,3,2,2,1,a,m,-99,-99
