exp_code,pNum,cue1,cue2,outcome,certainty,accuracy,RT
UNW01,798,1.0,4.0,1.0,1.0,1.0,1.5233405999997558
UNW01,798,1.0,4.0,1.0,1.0,1.0,3.1420766000001095
UNW01,798,1.0,4.0,1.0,1.0,1.0,1.6307206000001315
UNW01,798,1.0,3.0,1.0,1.0,1.0,4.0616758000005575
